id,title,isPartOf,publicationYear,doi,docType,docSubType,provider,collection,datePublished,issueNumber,volumeNumber,url,creator,publisher,language,pageStart,pageEnd,placeOfPublication,wordCount,pageCount,outputFormat
http://www.jstor.org/stable/1156902,Review Article,Africa: Journal of the International African Institute,1955,,article,book-review,jstor,,1955-01-01,1,25,http://www.jstor.org/stable/1156902,Jacques J. Maquet,Cambridge University Press,fre,99,100,,1249,2,unigram; bigram; trigram
http://www.jstor.org/stable/3180604,XHOSA,Africa: Journal of the International African Institute,1935,,article,research-article,jstor,,1935-10-01,4,8,http://www.jstor.org/stable/3180604,W. Blohm,Cambridge University Press,ger,522,525,,1782,4,unigram; bigram; trigram
http://www.jstor.org/stable/1157108,"Meeting of the Executive Council, Paris, 18-19 April 1955",Africa: Journal of the International African Institute,1955,,article,misc,jstor,,1955-07-01,3,25,http://www.jstor.org/stable/1157108,,Cambridge University Press,eng,280,281,,824,2,unigram; bigram; trigram
http://www.jstor.org/stable/1156487,The Revival of Popular Art in Poland,Africa: Journal of the International African Institute,1943,,article,research-article,jstor,,1943-10-01,4,14,http://www.jstor.org/stable/1156487,Antoni Plutynski,Cambridge University Press,eng,200,208,,5376,11,unigram; bigram; trigram
http://www.jstor.org/stable/3180550,Protestant Missions and Marriage in the Belgian Congo,Africa: Journal of the International African Institute,1948,,article,research-article,jstor,,1948-04-01,2,18,http://www.jstor.org/stable/3180550,J. Davidson,Cambridge University Press,eng,120,128,,5245,9,unigram; bigram; trigram
http://www.jstor.org/stable/1156206,Review Article,Africa: Journal of the International African Institute,1945,,article,book-review,jstor,,1945-04-01,2,15,http://www.jstor.org/stable/1156206,P. Amaury Talbot,Cambridge University Press,eng,96,97,,1456,2,unigram; bigram; trigram
http://www.jstor.org/stable/1155306,Review Article,Africa: Journal of the International African Institute,1937,,article,book-review,jstor,,1937-07-01,3,10,http://www.jstor.org/stable/1155306,A. N. Tucker,Cambridge University Press,eng,367,368,,944,2,unigram; bigram; trigram
http://www.jstor.org/stable/1157114,Review Article,Africa: Journal of the International African Institute,1955,,article,book-review,jstor,,1955-07-01,3,25,http://www.jstor.org/stable/1157114,G. I. Jones,Cambridge University Press,eng,300,301,,1293,2,unigram; bigram; trigram
http://www.jstor.org/stable/1155205,Review Article,Africa: Journal of the International African Institute,1930,,article,book-review,jstor,,1930-10-01,4,3,http://www.jstor.org/stable/1155205,D. Westermann,Cambridge University Press,eng,546,546,,491,1,unigram; bigram; trigram
http://www.jstor.org/stable/1157096,Review Article,Africa: Journal of the International African Institute,1952,,article,book-review,jstor,,1952-01-01,1,22,http://www.jstor.org/stable/1157096,E. E. Evans-Pritchard,Cambridge University Press,eng,87,87,,699,1,unigram; bigram; trigram
http://www.jstor.org/stable/1156446,Funeral Friendship in Central Africa,Africa: Journal of the International African Institute,1950,,article,research-article,jstor,,1950-10-01,4,20,http://www.jstor.org/stable/1156446,B. Stefaniszyn,Cambridge University Press,eng,290,306,,8427,17,unigram; bigram; trigram
http://www.jstor.org/stable/1155425,Bibliography of Current Literature Dealing with African Languages and Cultures,Africa: Journal of the International African Institute,1932,,article,misc,jstor,,1932-10-01,4,5,http://www.jstor.org/stable/1155425,,Cambridge University Press,eng,536,540,,2818,5,unigram; bigram; trigram
http://www.jstor.org/stable/1156006,Social Problems and Research in British West Africa. Part II,Africa: Journal of the International African Institute,1947,,article,research-article,jstor,,1947-07-01,3,17,http://www.jstor.org/stable/1156006,Raymond Firth,Cambridge University Press,eng,170,180,,6409,11,unigram; bigram; trigram
http://www.jstor.org/stable/1156010,L'Évolution du Mariage Coutumier Chez les Musulmans du Sénégal,Africa: Journal of the International African Institute,1947,,article,research-article,jstor,,1947-07-01,3,17,http://www.jstor.org/stable/1156010,J. Robin,Cambridge University Press,fre,192,201,,5795,10,unigram; bigram; trigram
http://www.jstor.org/stable/1155696,Front Matter,Africa: Journal of the International African Institute,1933,,article,misc,jstor,,1933-01-01,1,6,http://www.jstor.org/stable/1155696,,Cambridge University Press,eng,ii,104,,807,5,unigram; bigram; trigram
http://www.jstor.org/stable/1156824,To Members of the Institute,Africa: Journal of the International African Institute,1945,,article,misc,jstor,,1945-01-01,1,15,http://www.jstor.org/stable/1156824,Daryll Forde,Cambridge University Press,eng,1,3,,1278,3,unigram; bigram; trigram
http://www.jstor.org/stable/1155691,Review Article,Africa: Journal of the International African Institute,1933,,article,book-review,jstor,,1933-07-01,3,6,http://www.jstor.org/stable/1155691,A. Werner,Cambridge University Press,eng,350,350,,501,1,unigram; bigram; trigram
http://www.jstor.org/stable/1156740,Review Article,Africa: Journal of the International African Institute,1954,,article,book-review,jstor,,1954-01-01,1,24,http://www.jstor.org/stable/1156740,I. Richardson,Cambridge University Press,eng,73,74,,1331,2,unigram; bigram; trigram
http://www.jstor.org/stable/1156693,The Late Professor Eugen Mittwoch,Africa: Journal of the International African Institute,1943,,article,news,jstor,,1943-01-01,1,14,http://www.jstor.org/stable/1156693,,Cambridge University Press,eng,3,3,,346,1,unigram; bigram; trigram
http://www.jstor.org/stable/1157146,Back Matter,Africa: Journal of the International African Institute,1958,,article,misc,jstor,,1958-04-01,2,28,http://www.jstor.org/stable/1157146,,Cambridge University Press,eng,,,,425,2,unigram; bigram; trigram
http://www.jstor.org/stable/1157536,Review Article,Africa: Journal of the International African Institute,1959,,article,book-review,jstor,,1959-04-01,2,29,http://www.jstor.org/stable/1157536,J. Vansina,Cambridge University Press,fre,213,214,,898,2,unigram; bigram; trigram
http://www.jstor.org/stable/1157086,Some Aspects of Investment and Economic Development in the Continent of Africa,Africa: Journal of the International African Institute,1952,,article,research-article,jstor,,1952-01-01,1,22,http://www.jstor.org/stable/1157086,S. Herbert Frankel,Cambridge University Press,eng,50,58,,5080,9,unigram; bigram; trigram
http://www.jstor.org/stable/1156222,Review Article,Africa: Journal of the International African Institute,1957,,article,book-review,jstor,,1957-10-01,4,27,http://www.jstor.org/stable/1156222,G. Dieterlen,Cambridge University Press,fre,407,409,,1957,3,unigram; bigram; trigram
http://www.jstor.org/stable/1155278,Review Article,Africa: Journal of the International African Institute,1931,,article,book-review,jstor,,1931-07-01,3,4,http://www.jstor.org/stable/1155278,Alice Werner,Cambridge University Press,eng,382,383,,1055,2,unigram; bigram; trigram
http://www.jstor.org/stable/1155969,Review Article,Africa: Journal of the International African Institute,1939,,article,book-review,jstor,,1939-10-01,4,12,http://www.jstor.org/stable/1155969,C. M. Doke,Cambridge University Press,eng,513,513,,163,1,unigram; bigram; trigram
http://www.jstor.org/stable/1156579,Review Article,Africa: Journal of the International African Institute,1958,,article,book-review,jstor,,1958-01-01,1,28,http://www.jstor.org/stable/1156579,R. A. Skelton,Cambridge University Press,eng,69,70,,1342,2,unigram; bigram; trigram
http://www.jstor.org/stable/1155973,The Missionary as an Anthropological Field-Worker,Africa: Journal of the International African Institute,1931,,article,research-article,jstor,,1931-04-01,2,4,http://www.jstor.org/stable/1155973,Diedrich Westermann,Cambridge University Press,eng,164,177,,5989,14,unigram; bigram; trigram
http://www.jstor.org/stable/1156651,Bibliography of Current Publications,Africa: Journal of the International African Institute,1957,,article,misc,jstor,,1957-07-01,3,27,http://www.jstor.org/stable/1156651,,Cambridge University Press,eng,307,316,,7219,10,unigram; bigram; trigram
http://www.jstor.org/stable/1156632,Migratory Labour from North-Wester Nigeria,Africa: Journal of the International African Institute,1957,,article,research-article,jstor,,1957-07-01,3,27,http://www.jstor.org/stable/1156632,R. Mansell Prothero,Cambridge University Press,eng,251,261,,5430,11,unigram; bigram; trigram
http://www.jstor.org/stable/1156955,Fanti Omens,Africa: Journal of the International African Institute,1940,,article,research-article,jstor,,1940-04-01,2,13,http://www.jstor.org/stable/1156955,Margaret Lantis,Cambridge University Press,eng,150,160,,4749,11,unigram; bigram; trigram
http://www.jstor.org/stable/1155313,Front Matter,Africa: Journal of the International African Institute,1933,,article,misc,jstor,,1933-04-01,2,6,http://www.jstor.org/stable/1155313,,Cambridge University Press,eng,1,2,,33,2,unigram; bigram; trigram
http://www.jstor.org/stable/1156394,Review Article,Africa: Journal of the International African Institute,1943,,article,book-review,jstor,,1943-04-01,2,14,http://www.jstor.org/stable/1156394,G. P. Bargery,Cambridge University Press,eng,99,100,,1266,2,unigram; bigram; trigram
http://www.jstor.org/stable/1156375,Review Article,Africa: Journal of the International African Institute,1957,,article,book-review,jstor,,1957-01-01,1,27,http://www.jstor.org/stable/1156375,Phyllis Kaberry,Cambridge University Press,eng,94,95,,1296,2,unigram; bigram; trigram
http://www.jstor.org/stable/1155406,The Teaching of Agriculture in West Africa,Africa: Journal of the International African Institute,1932,,article,research-article,jstor,,1932-10-01,4,5,http://www.jstor.org/stable/1155406,F. R. Irvine,Cambridge University Press,eng,464,473,,3821,10,unigram; bigram; trigram
http://www.jstor.org/stable/1156379,Front Matter,Africa: Journal of the International African Institute,1943,,article,misc,jstor,,1943-04-01,2,14,http://www.jstor.org/stable/1156379,,Cambridge University Press,eng,1,2,,769,4,unigram; bigram; trigram
http://www.jstor.org/stable/1157743,The Categories of Number in Noun Forms in the Borana Dialect of Galla,Africa: Journal of the International African Institute,1960,,article,research-article,jstor,,1960-01-01,1,30,http://www.jstor.org/stable/1157743,B. W. Andrzejewski,Cambridge University Press,eng,62,75,,6124,14,unigram; bigram; trigram
http://www.jstor.org/stable/1156759,Review Article,Africa: Journal of the International African Institute,1952,,article,book-review,jstor,,1952-07-01,3,22,http://www.jstor.org/stable/1156759,R. C. Abraham,Cambridge University Press,eng,285,288,,2722,4,unigram; bigram; trigram
http://www.jstor.org/stable/1155678,The Ethnology of African Sound-Instruments (Continued),Africa: Journal of the International African Institute,1933,,article,research-article,jstor,,1933-07-01,3,6,http://www.jstor.org/stable/1155678,E. M. Von Hornbostel,Cambridge University Press,eng,277,311,,11600,35,unigram; bigram; trigram
http://www.jstor.org/stable/1155412,Review Article,Africa: Journal of the International African Institute,1932,,article,book-review,jstor,,1932-10-01,4,5,http://www.jstor.org/stable/1155412,Brenda Z. Seligman,Cambridge University Press,eng,516,518,,1489,3,unigram; bigram; trigram
http://www.jstor.org/stable/1156726,Back Matter,Africa: Journal of the International African Institute,1954,,article,misc,jstor,,1954-10-01,4,24,http://www.jstor.org/stable/1156726,,Cambridge University Press,eng,,,,495,2,unigram; bigram; trigram
http://www.jstor.org/stable/1155665,Review Article,Africa: Journal of the International African Institute,1938,,article,book-review,jstor,,1938-07-01,3,11,http://www.jstor.org/stable/1155665,G. C. Baker,Cambridge University Press,eng,373,374,,930,2,unigram; bigram; trigram
http://www.jstor.org/stable/1156844,Review Article,Africa: Journal of the International African Institute,1956,,article,book-review,jstor,,1956-04-01,2,26,http://www.jstor.org/stable/1156844,L. P. Mair,Cambridge University Press,eng,195,196,,1314,2,unigram; bigram; trigram
http://www.jstor.org/stable/1157090,Current Researches,Africa: Journal of the International African Institute,1952,,article,misc,jstor,,1952-01-01,1,22,http://www.jstor.org/stable/1157090,,Cambridge University Press,eng,76,76,,413,1,unigram; bigram; trigram
http://www.jstor.org/stable/1155128,The Voice of Africa. Intsomi,Africa: Journal of the International African Institute,1930,,article,research-article,jstor,,1930-01-01,1,3,http://www.jstor.org/stable/1155128,G. Reginald Veel,Cambridge University Press,eng,103,112,,5236,10,unigram; bigram; trigram
http://www.jstor.org/stable/1156088,Bibliography of Current Publications,Africa: Journal of the International African Institute,1955,,article,misc,jstor,,1955-04-01,2,25,http://www.jstor.org/stable/1156088,,Cambridge University Press,eng,207,215,,6436,9,unigram; bigram; trigram
http://www.jstor.org/stable/1155641,Review Article,Africa: Journal of the International African Institute,1928,,article,book-review,jstor,,1928-07-01,3,1,http://www.jstor.org/stable/1155641,E. W. Smith,Cambridge University Press,eng,391,392,,873,2,unigram; bigram; trigram
http://www.jstor.org/stable/1156994,Review Article,Africa: Journal of the International African Institute,1940,,article,book-review,jstor,,1940-01-01,1,13,http://www.jstor.org/stable/1156994,E. B. Worthington,Cambridge University Press,eng,77,82,,2895,6,unigram; bigram; trigram
http://www.jstor.org/stable/1156909,Review Article,Africa: Journal of the International African Institute,1955,,article,book-review,jstor,,1955-01-01,1,25,http://www.jstor.org/stable/1156909,Lyndon Harries,Cambridge University Press,eng,108,109,,1348,2,unigram; bigram; trigram
http://www.jstor.org/stable/1156528,Review Article,Africa: Journal of the International African Institute,1949,,article,book-review,jstor,,1949-04-01,2,19,http://www.jstor.org/stable/1156528,,Cambridge University Press,eng,168,169,,1183,2,unigram; bigram; trigram
http://www.jstor.org/stable/1155307,Review Article,Africa: Journal of the International African Institute,1937,,article,book-review,jstor,,1937-07-01,3,10,http://www.jstor.org/stable/1155307,D. Westermann,Cambridge University Press,eng,368,368,,454,1,unigram; bigram; trigram
http://www.jstor.org/stable/1155587,Review Article,Africa: Journal of the International African Institute,1932,,article,book-review,jstor,,1932-04-01,2,5,http://www.jstor.org/stable/1155587,M. Perham,Cambridge University Press,eng,221,222,,966,2,unigram; bigram; trigram
http://www.jstor.org/stable/1157924,Obituary: Henri Labouret,Africa: Journal of the International African Institute,1959,,article,news,jstor,,1959-10-01,4,29,http://www.jstor.org/stable/1157924,Hubert Deschamps,Cambridge University Press,fre,333,334,,814,2,unigram; bigram; trigram
http://www.jstor.org/stable/1155216,Social Aspects of First Fruits Ceremonies among the South-Eastern Bantu,Africa: Journal of the International African Institute,1938,,article,research-article,jstor,,1938-01-01,1,11,http://www.jstor.org/stable/1155216,Max Gluckmann,Cambridge University Press,eng,25,41,,7066,17,unigram; bigram; trigram
http://www.jstor.org/stable/1156047,The Bamum Coronation Ceremony as Described by King Njoya,Africa: Journal of the International African Institute,1950,,article,research-article,jstor,,1950-01-01,1,20,http://www.jstor.org/stable/1156047,M. D. W. Jeffreys,Cambridge University Press,eng,38,45,,5306,8,unigram; bigram; trigram
http://www.jstor.org/stable/1155312,Back Matter,Africa: Journal of the International African Institute,1937,,article,misc,jstor,,1937-07-01,3,10,http://www.jstor.org/stable/1155312,,Cambridge University Press,eng,,,,398,2,unigram; bigram; trigram
http://www.jstor.org/stable/1156450,Gurage Notes,Africa: Journal of the International African Institute,1950,,article,research-article,jstor,,1950-10-01,4,20,http://www.jstor.org/stable/1156450,Edward Ullendorff,Cambridge University Press,eng,335,344,,5566,10,unigram; bigram; trigram
http://www.jstor.org/stable/1157024,Review Article,Africa: Journal of the International African Institute,1946,,article,book-review,jstor,,1946-04-01,2,16,http://www.jstor.org/stable/1157024,E. W. S.,Cambridge University Press,eng,129,131,,2216,3,unigram; bigram; trigram
http://www.jstor.org/stable/1155910,Preferential Marriage. Correlation of the Various Modes among the Bantu Tribes of the Union of South Africa,Africa: Journal of the International African Institute,1928,,article,research-article,jstor,,1928-10-01,4,1,http://www.jstor.org/stable/1155910,Werner Eiselen,Cambridge University Press,eng,413,428,,5989,16,unigram; bigram; trigram
http://www.jstor.org/stable/1155258,Native Land Tenure in East Africa,Africa: Journal of the International African Institute,1931,,article,research-article,jstor,,1931-07-01,3,4,http://www.jstor.org/stable/1155258,L. P. Mair,Cambridge University Press,eng,314,329,,6863,16,unigram; bigram; trigram
http://www.jstor.org/stable/1156406,Ibo Land Tenure,Africa: Journal of the International African Institute,1949,,article,research-article,jstor,,1949-10-01,4,19,http://www.jstor.org/stable/1156406,G. I. Jones,Cambridge University Press,eng,309,323,,9506,15,unigram; bigram; trigram
http://www.jstor.org/stable/1157505,Review Article,Africa: Journal of the International African Institute,1959,,article,book-review,jstor,,1959-01-01,1,29,http://www.jstor.org/stable/1157505,A. Klingenheben,Cambridge University Press,ger,93,95,,2025,3,unigram; bigram; trigram
http://www.jstor.org/stable/1156129,Review Article,Africa: Journal of the International African Institute,1945,,article,book-review,jstor,,1945-07-01,3,15,http://www.jstor.org/stable/1156129,A. N. T.,Cambridge University Press,eng,171,171,,672,1,unigram; bigram; trigram
http://www.jstor.org/stable/1157145,Bibliography of Current Publications,Africa: Journal of the International African Institute,1958,,article,misc,jstor,,1958-04-01,2,28,http://www.jstor.org/stable/1157145,,Cambridge University Press,eng,181,191,,7926,11,unigram; bigram; trigram
http://www.jstor.org/stable/1156026,"Sir Reginald Coupland, K.C.M.G., C.I.E.",Africa: Journal of the International African Institute,1953,,article,news,jstor,,1953-01-01,1,23,http://www.jstor.org/stable/1156026,,Cambridge University Press,eng,1,1,,359,1,unigram; bigram; trigram
http://www.jstor.org/stable/1155649,Notes and News,Africa: Journal of the International African Institute,1928,,article,misc,jstor,,1928-07-01,3,1,http://www.jstor.org/stable/1155649,,Cambridge University Press,eng,411,412,,579,2,unigram; bigram; trigram
http://www.jstor.org/stable/3180559,Review Article,Africa: Journal of the International African Institute,1948,,article,book-review,jstor,,1948-04-01,2,18,http://www.jstor.org/stable/3180559,N. A. Barnicot,Cambridge University Press,eng,151,152,,1238,2,unigram; bigram; trigram
http://www.jstor.org/stable/1157734,Bibliography of Current Publications,Africa: Journal of the International African Institute,1960,,article,misc,jstor,,1960-04-01,2,30,http://www.jstor.org/stable/1157734,,Cambridge University Press,eng,209,219,,8030,11,unigram; bigram; trigram
http://www.jstor.org/stable/1156668,Back Matter,Africa: Journal of the International African Institute,1947,,article,misc,jstor,,1947-10-01,4,17,http://www.jstor.org/stable/1156668,,Cambridge University Press,eng,,,,408,2,unigram; bigram; trigram
http://www.jstor.org/stable/1155290,Review Article,Africa: Journal of the International African Institute,1931,,article,book-review,jstor,,1931-07-01,3,4,http://www.jstor.org/stable/1155290,J. D. Rheinallt-Jones,Cambridge University Press,eng,391,392,,708,2,unigram; bigram; trigram
http://www.jstor.org/stable/1157764,Review Article,Africa: Journal of the International African Institute,1960,,article,book-review,jstor,,1960-01-01,1,30,http://www.jstor.org/stable/1157764,Vinigi L. Grottanelli,Cambridge University Press,eng,99,100,,1059,2,unigram; bigram; trigram
http://www.jstor.org/stable/1156949,Bibliography of Current Literature Dealing with African Languages and Cultures,Africa: Journal of the International African Institute,1947,,article,misc,jstor,,1947-01-01,1,17,http://www.jstor.org/stable/1156949,,Cambridge University Press,eng,70,76,,4709,7,unigram; bigram; trigram
http://www.jstor.org/stable/1155096,Review Article,Africa: Journal of the International African Institute,1939,,article,book-review,jstor,,1939-04-01,2,12,http://www.jstor.org/stable/1155096,D. Westermann,Cambridge University Press,eng,257,258,,741,2,unigram; bigram; trigram
http://www.jstor.org/stable/1156639,Review Article,Africa: Journal of the International African Institute,1957,,article,book-review,jstor,,1957-07-01,3,27,http://www.jstor.org/stable/1156639,M. M. Douglas,Cambridge University Press,eng,290,292,,2106,3,unigram; bigram; trigram
http://www.jstor.org/stable/1157604,Review Article,Africa: Journal of the International African Institute,1960,,article,book-review,jstor,,1960-10-01,4,30,http://www.jstor.org/stable/1157604,V. van Bulck,Cambridge University Press,fre,410,411,,1276,2,unigram; bigram; trigram
http://www.jstor.org/stable/1156846,Review Article,Africa: Journal of the International African Institute,1956,,article,book-review,jstor,,1956-04-01,2,26,http://www.jstor.org/stable/1156846,G. Beresford-Stooke,Cambridge University Press,eng,199,200,,1408,2,unigram; bigram; trigram
http://www.jstor.org/stable/1155990,To the Members of the Institute,Africa: Journal of the International African Institute,1943,,article,misc,jstor,,1943-07-01,3,14,http://www.jstor.org/stable/1155990,Hanns Vischer,Cambridge University Press,eng,105,105,,300,1,unigram; bigram; trigram
http://www.jstor.org/stable/1156738,Review Article,Africa: Journal of the International African Institute,1954,,article,book-review,jstor,,1954-01-01,1,24,http://www.jstor.org/stable/1156738,Edwin W. Smith,Cambridge University Press,eng,69,70,,1363,2,unigram; bigram; trigram
http://www.jstor.org/stable/1156105,Review Article,Africa: Journal of the International African Institute,1940,,article,book-review,jstor,,1940-07-01,3,13,http://www.jstor.org/stable/1156105,B. Honikman,Cambridge University Press,eng,310,311,,920,2,unigram; bigram; trigram
http://www.jstor.org/stable/1156399,Back Matter,Africa: Journal of the International African Institute,1943,,article,misc,jstor,,1943-04-01,2,14,http://www.jstor.org/stable/1156399,,Cambridge University Press,eng,,,,598,2,unigram; bigram; trigram
http://www.jstor.org/stable/1155635,Some Conclusions concerning the Bantu Conception of the Soul,Africa: Journal of the International African Institute,1928,,article,research-article,jstor,,1928-07-01,3,1,http://www.jstor.org/stable/1155635,W. C. Willoughby,Cambridge University Press,eng,338,347,,4020,10,unigram; bigram; trigram
http://www.jstor.org/stable/1155342,Review Article,Africa: Journal of the International African Institute,1932,,article,book-review,jstor,,1932-01-01,1,5,http://www.jstor.org/stable/1155342,Hermann Baumann,Cambridge University Press,ger,106,109,,1682,4,unigram; bigram; trigram
http://www.jstor.org/stable/1155350,Review Article,Africa: Journal of the International African Institute,1932,,article,book-review,jstor,,1932-01-01,1,5,http://www.jstor.org/stable/1155350,D. Westermann,Cambridge University Press,eng,113,114,,730,2,unigram; bigram; trigram
http://www.jstor.org/stable/1155816,Review Article,Africa: Journal of the International African Institute,1930,,article,book-review,jstor,,1930-04-01,2,3,http://www.jstor.org/stable/1155816,H. Louis,Cambridge University Press,ger,255,255,,389,1,unigram; bigram; trigram
http://www.jstor.org/stable/1155754,Review Article,Africa: Journal of the International African Institute,1931,,article,book-review,jstor,,1931-01-01,1,4,http://www.jstor.org/stable/1155754,T. J. A. Yates,Cambridge University Press,eng,135,136,,975,2,unigram; bigram; trigram
http://www.jstor.org/stable/1156534,Land Tenure on the Eritrean Plateau,Africa: Journal of the International African Institute,1946,,article,research-article,jstor,,1946-01-01,1,16,http://www.jstor.org/stable/1156534,S. F. Nadel,Cambridge University Press,eng,1,22,,13329,22,unigram; bigram; trigram
http://www.jstor.org/stable/1155721,The Present Linguistic Situation in Ibo Country,Africa: Journal of the International African Institute,1936,,article,research-article,jstor,,1936-10-01,4,9,http://www.jstor.org/stable/1155721,Margaret M. Green,Cambridge University Press,eng,508,523,,6480,17,unigram; bigram; trigram
http://www.jstor.org/stable/1156369,Review Article,Africa: Journal of the International African Institute,1957,,article,book-review,jstor,,1957-01-01,1,27,http://www.jstor.org/stable/1156369,G. I. Jones,Cambridge University Press,eng,83,85,,2103,3,unigram; bigram; trigram
http://www.jstor.org/stable/1156761,Bibliography of Current Publications,Africa: Journal of the International African Institute,1952,,article,misc,jstor,,1952-07-01,3,22,http://www.jstor.org/stable/1156761,,Cambridge University Press,eng,289,299,,8032,11,unigram; bigram; trigram
http://www.jstor.org/stable/1155823,Education and the Social Adjustment of the Primitive Peoples of Africa to European Culture,Africa: Journal of the International African Institute,1929,,article,research-article,jstor,,1929-04-01,2,2,http://www.jstor.org/stable/1155823,W. Bryant Mumford,Cambridge University Press,eng,138,161,,9691,24,unigram; bigram; trigram
http://www.jstor.org/stable/1155314,Short Guide to the Recording of African Languages,Africa: Journal of the International African Institute,1933,,article,research-article,jstor,,1933-04-01,2,6,http://www.jstor.org/stable/1155314,,Cambridge University Press,eng,3,25,,2614,23,unigram; bigram; trigram
http://www.jstor.org/stable/1156401,Front Matter,Africa: Journal of the International African Institute,1949,,article,misc,jstor,,1949-10-01,4,19,http://www.jstor.org/stable/1156401,,Cambridge University Press,eng,1,2,,593,4,unigram; bigram; trigram
http://www.jstor.org/stable/1155462,Review Article,Africa: Journal of the International African Institute,1932,,article,book-review,jstor,,1932-07-01,3,5,http://www.jstor.org/stable/1155462,H. Jensen,Cambridge University Press,ger,373,374,,805,2,unigram; bigram; trigram
http://www.jstor.org/stable/1156331,Review Article,Africa: Journal of the International African Institute,1946,,article,book-review,jstor,,1946-07-01,3,16,http://www.jstor.org/stable/1156331,A. N. Tucker,Cambridge University Press,eng,204,204,,682,1,unigram; bigram; trigram
http://www.jstor.org/stable/3180520,Review Article,Africa: Journal of the International African Institute,1935,,article,book-review,jstor,,1935-04-01,2,8,http://www.jstor.org/stable/3180520,J. Lukas,Cambridge University Press,eng,241,242,,858,2,unigram; bigram; trigram
http://www.jstor.org/stable/1156147,Review Article,Africa: Journal of the International African Institute,1954,,article,book-review,jstor,,1954-04-01,2,24,http://www.jstor.org/stable/1156147,B. E. W.,Cambridge University Press,eng,174,175,,1323,2,unigram; bigram; trigram
