Vessel name,Bandeira,Total embarked,Total disembarked,Percent men,Percent women,Mortality rate,Middle passage,Captain's name
Maria,,480,467,,,0.03,30,"Silva, Joaquim Henriques da"
Elisa,,288,282,,,0.02,34,"Carvalho, Antônio Joaquim de"
Diligente,,118,100,,,0.15,33,"Ferreira, Antônio José"
Luís,,569,513,,,0.1,40,"Coelho, Jacinto Fernandes"
S Pedro do Sul,,440,431,,,0.02,29,"Siqueira, João Inácio de"
Feliz Americano,,291,290,,,0.0,29,"Azevedo, Agostinho de"
Ludovino,,408,407,,,0.0,32,"Viana, José Pinto de Araújo"
Reino do Brasil,,335,334,,,0.0,33,"Teixeira, José de Souza"
Ligeiro,,358,324,,,,53,"Assis, Francisco Antônio de"
Feliz Eugênia,,483,479,,,0.01,30,"Moraes, José de"
Mercúrio,,492,480,,,0.02,37,"Martins, Francisco José"
Ásia,,334,328,,,0.02,84,"Martins, Diogo José<br/> Lima, Lourenço Manoel de"
Feliz Carlota,,304,265,,,,28,"Pereira, Albino Mariano dos Santos"
Esgueira,,544,396,,,0.27,59,"Silva, José dos Santos Almeida e"
Leopoldina,,331,316,,,0.05,,"Cunha, Henrique Francisco da"
Serpente,,375,293,,,0.22,68,"Cunha, Eusébio José da"
Maria,Sweden,182,160,,,,,Benoat
Tellus,Spain,196,177,,,,60,"Botet, Juan"
 ,France,556,500,,,,,
 ,France,564,507,,,,40,
Eleonora,Portugal,289,265,,,,,"Brito, Vítor de"
Rôdeur,France,200,160,,,0.2,,Boucher
 ,Netherlands,538,480,,,,,
Aimable Henriette,France,269,246,,,,,"Bréaut, J Auguste"
Daphnée,France,150,150,,,0.0,,Allain
Aurore,France,94,82,,,,,"Deniel, Jean Baptiste"
Romano,Portugal,496,454,,,,,"Antônio, D José"
Caroline,France,262,240,,,,,"Triarte, Felix"
Minerva,Spain,556,500,,,,,"Sangredo, J S"
Atalanta,Spain,634,570,,,,,"Peoli, Juan Jorge"
Zéfiro,Portugal,224,205,,,,,"Brito, Vítor Nobre de"
NS de Pilar (a) L Zaragor,Spain,436,392,,,,,"Sandeli, Juan"
Herculina,Spain,434,390,,,,,"Garay, José"
Esencia,U.S.A.,129,113,,,,,"Brown, M"
Merced,Spain,340,306,,,,,"Trasmussas, Juan"
Romana,Portugal,273,250,,,,,"Antônio, José"
Africain,France,170,152,,,,,"Quoniam, B C"
Antonica,Spain,158,139,,,,,"Zorilla, Joaquin"
S José Americano,,808,750,,,0.07,34,"Marques, Domingos Joaquim"
Golfinho,,460,417,,,,36,"Braga, Antônio Manoel de Azevedo<br/> Porto, Antônio Alves da Silva"
Aurora do Cabo,,492,298,,,0.39,67,"Pacheco, José Emídio Adauto<br/> Ferreira, João Antônio"
S Filipe Londoffe,,428,413,,,0.04,,
Paquete do Rio,,470,460,,,0.02,32,"Blanchart, Manoel Pereira de Souza"
Liberal,,166,145,,,,30,"Machado, Manoel de Souza"
Amazona,,465,422,,,0.09,65,"Silva, Manoel Lopes da<br/> Viana, Manoel Goncalves"
NS da Conceição Esperança,Portugal,389,265,,,0.32,105,"Carvalho, Agostinho J"
Pastora de Lima,,467,407,,,0.13,42,"Oliveira, José Malaquias de"
Esperança,,431,402,,,0.07,35,"Loureiro, Joaquim José da Silva"
Triunfo do Brasil,,532,401,,,0.25,63,"Carrilho, João Rodrigues"
NS da Guia,,529,436,,,0.18,81,"Silva, José Jorge da"
Maria Tomásia,,470,410,,,0.13,33,"Silva, José Pinto Ribeiro da<br/> Trindade, Francisco Dias"
Ulisses,,631,418,,,0.34,59,"Viana, Pedro José Correa"
Trajano,,462,460,,,0.0,32,"Silva, Manoel Francisco da"
Zéfiro,,504,483,,,0.04,44,"Melo, José Antônio de<br/> Costa, Domingos Luís da"
Mercúrio,,420,384,,,0.09,41,"Pereira, Anacleto de Jesus"
Leopoldina,,481,448,,,0.07,60,"Menezes, Antônio Joaquim de"
Mariana,,520,380,,,0.27,51,"Domingues, Jerônimo"
Minerva,,577,475,,,0.18,66,"Souza, Antônio José de"
Príncipe Regente,,681,664,,,0.02,42,"Santos, Antônio Teodoro dos"
Príncipe Real Duque de Bragança,Portugal,536,486,,,,,"Baduem, Joaquim Azevedo"
Vinte e Seis de Fevereiro,,623,455,,,0.27,51,"Branco, Paulo José"
NS da Boa Viagem Abismo,,305,239,,,0.22,41,"Brito, Antônio Luís Ribeiro de<br/> Rocha, Joaquim Jose da"
General Sampaio,Portugal,465,352,,,0.24,35,"Ferreira, Joaquim Francisco Xavier"
General Silveira,,460,406,,,0.12,61,"Freitas, Antônio Lourenço de<br/> Vale, João Gomes"
Conde dos Arcos,,477,425,,,0.11,61,"Luz, Antônio da"
Mariana Dáfne,,479,375,,,0.22,48,"Oliveira, Sérgio Ferreira de"
Feliz Eugênia,,672,455,,,0.32,93,"Fogaça, Antônio Gomes"
S Antônio Destemido (a) S Amaro,,747,519,,,0.31,23,"Silva, Jacob Leandro da"
Maria,,448,379,,,0.15,40,"Marta, Inácio Alves<br/> Lopes, João Crisóstomo Rodrigues"
S Rosa,,313,291,,,0.07,53,"Faria, Manoel de Jesus"
NS do Baluarte,Portugal,418,203,,,0.51,103,"Pinheiro, Luís José Soares"
S José Diligente Vulcano,,390,362,,,0.07,39,"Costa, Silvestre Manoel Pereira da"
NS da Conceição e Sr dos Passos,,449,400,,,0.11,41,"Santos, José Vitorino dos"
Reino do Brasil,,425,388,,,0.09,39,"Maia, Manoel Rodrigues"
Grão Penedo,,459,432,,,0.06,54,"Salazar, José Pereira<br/> Ferreira, João Antônio"
Urânia,,302,268,,,0.11,46,"Gomes, Manoel de Souza"
Amália,Portugal,760,607,,,0.2,40,"Batalha, Luís Antônio<br/> Viana, Manoel Goncalves"
Santana Flor de Luanda,,545,533,,,0.02,32,"Lopes, Francisco da Silva"
Ligeiro,,408,390,,,0.04,42,"Santos, Francisco dos"
S José Diligente,,467,428,,,,30,"Branco, Antônio Rodrigues"
Mercantil,,733,695,,,0.05,24,"Rodrigues, Francisco Manoel de"
Seis de Fevereiro,,467,466,,,0.0,,
Flor do Brasil,,655,572,,,0.13,33,"Costa, João Lopes da"
Caçador,,595,535,,,0.1,32,"Oliveira, Francisco de Paula Neves de"
Tejo,,472,376,,,0.2,40,"Sá, José Ferreira de"
Adamastor,,525,524,,,0.0,28,"Seixas, Valeriano José de<br/> Vale, João Gomes"
Marquês de Pombal,,300,298,,,0.01,27,"Azevedo, José Francisco de<br/> Felix, Inácio José"
Vitória,,109,100,,,,,
General Rêgo,,515,467,,,0.09,33,"Pereira, Albino Mariano dos Santos"
Polifemo,,438,434,,,0.01,28,"Santos, Antônio Teodoro dos"
Trajano,,410,407,,,0.01,35,"Melo, Francisco José de"
Bela Americana,,384,351,,,,36,"Chaves, José Joaquim<br/> Silva, José.da"
Golfinho,,519,470,,,,35,"Braga, Antônio Manoel de Azevedo<br/> Ferreira, João Antônio"
Paquete do Rio,,499,495,,,0.01,37,"Blanchart, Manoel Pereira de Souza"
Esperança,,574,561,,,0.02,37,"Loureiro, Joaquim José da Silva"
Esperança,,431,425,,,0.01,,"Pacheco, José dos Santos"
Imperador Feliz,,617,541,,,0.12,36,"Pereira, Francisco Manoel"
Aurora do Cabo,,497,452,,,0.09,66,"Pacheco, José Emídio Adauto<br/> Vale, João Gomes"
Triunfo do Brasil,,338,335,,,0.01,33,"Neves, Maximiliano José das"
Africano Constitucional,,639,590,,,0.08,,
NS da Conceição e Sr dos Passos,,451,418,,,0.07,35,"Santos, José Vitorino dos"
Pastora de Lima,,467,460,,,0.01,41,"Oliveira, José Malaquias de"
Santana Flor da África,Brazil,228,216,,,0.05,39,"Almeida, Manoel Joaquim de"
Sacramento,,201,196,,,0.02,53,"Santos, José Martins dos"
Alegria dos Anjos,Portugal,170,168,,,0.01,52,"Porto, Antônio Ribeiro"
Lusitânia,,173,165,,,0.05,53,"Neto, Miguel Antônio"
Rosália,,152,146,,,0.04,42,"Alberto, Caetano"
Desengano Feliz,Brazil,408,390,,,0.04,,
Bonfim,,70,57,,,0.19,65,"Neves, Pascoal de Souza"
Vitória,Portugal,421,412,,,0.02,,"Santos, Manoel Cardoso dos"
Paquete da Bahia,Brazil,307,300,,,0.02,26,"Cardoso, Manoel Isidoro"
Vigilante Guerreiro,Brazil,257,233,,,,25,"Pontes, João Antônio"
Paz e União,Portugal,371,355,,,0.04,40,"Silva, André Pinto da"
Bela Astrea,,43,40,,,0.07,,"Guimarães, Manoel José da Silveira"
Fé,,55,48,,,,,
Americana,,47,44,,,0.06,24,"Ribeiro, José da Conceição"
Lucrécia,,304,290,,,0.05,,"Noronha, Manoel Joaquim de"
Voador,,104,94,,,,,"Pereira, Manoel Joaquim"
Cisne,Portugal,419,409,,,0.02,50,"Almeida, Manoel Gomes de"
Maria da Glória,Brazil,395,381,,,0.04,28,"Teixeira, João Vicente da"
Toninha,Brazil,268,256,,,0.04,,"Silva, Antônio José da"
Zéfiro,Brazil,380,357,,,0.06,32,"Rios, Marcelino Álvares da Cruz"
Sacramento,Brazil,198,185,,,0.07,34,"Veloso, José Joaquim"
S João e Segunda Rosália,,168,160,,,0.05,27,"Sabino, João"
Primeira Estrela,Brazil,179,170,,,0.05,21,"Rodrigues, Cosme José"
Vigilante,Brazil,246,243,,,0.01,35,"Costa, João Martins da"
Alegria dos Anjos,,332,315,,,0.05,34,"Porto, Antônio Ribeiro<br/> Belém, João Maurício"
NS da Conceição,Brazil,365,352,,,0.04,25,"Miranda, Manoel Joaquim de"
Afra,Portugal,186,182,,,0.02,,"Neves, Pascoal de Souza"
Amazona,Brazil,249,226,,,,43,"Batista, Martinho José"
União,Brazil,327,297,,,,25,"Cruz, Marcelino Álvares da<br/> Martins, Marcelino"
Maria da Glória,Portugal,389,381,,,0.02,19,"Fonseca, João José da"
Divina Providência,Brazil,178,173,,,0.03,44,"Coelho, João Batista"
Constituição,Brazil,264,263,,,0.0,24,"Araújo, Joaquim Luís de"
Lusitânia,Brazil,214,196,,,,,"Neto, Miguel Antônio"
Trident,France,181,126,,,0.3,,"Borbascan, T"
Théodore,France,314,174,,,0.45,,"Lecuyer, J L"
Trajano,,416,408,,,0.02,28,"Carvalho, Francisco Cândido da Silva e"
Caçador,,557,549,,,0.01,29,"Vieira, Manoel"
Mercúrio,,425,396,,,0.07,30,"Santos, José Joaquim dos"
Patrocínio,,554,194,,,0.65,84,"SIlva, Manoel Francisco da"
Tejo,,992,632,,,0.36,43,"Oliveira, João José de"
Quatro de Abril,,362,342,,,0.06,37,"Silva, Joaquim Rodrigues da"
Especulação,,522,511,,,0.02,71,"Silva, Manoel Pacheco da"
Lucônia,,346,241,,,0.3,76,"Costa, Desidério Manoel da"
Duque de Bragança,,508,270,,,0.47,82,"Gomes, Manoel José"
Paquete do Rio,,476,311,,,0.35,60,"Santos, Casemiro Lúcio dos<br/> Castro, Henrique José de"
 ,,451,385,,,0.15,89,
Minerva,,432,290,,,0.33,112,"Cardoso, Manoel<br/> Souza, Antônio José de"
Júlia,,433,291,,,0.33,54,"Cunha, Eusébio José da"
Feliz Carlota,,434,267,,,0.38,57,"Oliveira, Ventura José de"
Pastora de Lima,,337,260,,,0.23,67,"Luz, Antônio da"
Elisa,,500,342,,,0.32,50,"Silva, Manoel Inácio da"
Maria Tomásia,,384,367,,,0.04,32,"Magalhães, João de Melo"
Leopoldina,,455,433,,,0.05,78,"Silva, João Henriques da"
Esperança,,581,385,,,0.34,36,"Loureiro, Joaquim José da Silva"
S Rosa,,431,395,,,0.08,39,"Faria, Manoel de Jesus<br/> Ferreira, Jesus Ferreira de"
S José Diligente Vulcano,,312,287,,,0.08,42,"Oliveira, José Malaquias de<br/> Mafra, José da Silva"
NS da Guia Morgado do Almeo,,450,430,,,0.04,109,"Silva, José Jorge da"
Grão Penedo,,374,281,,,0.25,58,"Oliveira, Sérgio Ferreira de"
Conde dos Arcos,,461,439,,,0.05,47,"Mignani, Joaquim Vicente"
Reino do Brasil,,528,378,,,0.28,66,"Lopes, Francisco da Silva"
S José Diligente Vulcano,,325,225,,,0.31,49,"Santos, José Maria dos<br/> Costa, Manoel Pereira da"
NS do Baluarte,,375,365,,,0.03,110,"Castro, Nicolau Joaquim de"
NS da Conceição e Sr dos Passos,,202,113,,,0.44,32,"Santos, José Vitorino dos"
 ,,450,429,,,0.05,,
S Antônio Destemido,,741,680,,,0.08,36,"Silva, José Leite da"
Emília,Brazil,415,354,,,0.15,25,"Leonardo, Severo"
Santana Flor de Luanda,,566,514,,,0.09,33,"Pereira, Silvestre Manoel<br/> Silva, José Joaquim da<br/> Costa, Manoel Ferreira da"
Feliz Dias,,254,227,,,0.11,53,"Pereira, Albino Mariano dos Santos"
Mariana Dáfne,,481,460,,,0.04,35,"Branco, Antônio Rodrigues"
Ligeiro,,408,339,,,0.17,93,"Silva, José Pereira da"
Amália,,759,734,,,0.03,26,"Batalha, Luís Antônio"
Urânia,,304,270,,,0.11,32,"Coelho, Manoel Gomes"
Mercantil,,743,683,,,0.08,25,"Rodrigues, Francisco de Paula"
General Rêgo,,510,452,,,0.11,36,"Pena, José Antônio"
Bela Americana,,495,374,,,0.24,35,"Fernandes, José Antônio<br/> Chaves, Manoel Joaquim"
Indústria,Portugal,511,496,,,0.03,38,"Lourenço, Valério"
Seis de Fevereiro,,450,449,,,0.0,48,"Cruz, José Joaquim da"
Imperador Feliz,,579,507,,,0.12,35,"Pereira, Francisco Manoel"
S Pedro do Sul,,407,390,,,0.04,37,"Lima, José Joaquim de"
Luís,,544,500,,,0.08,45,"Silva, Caetano Alberto da"
Henriqueta,,573,561,,,0.02,30,"Pientenauzer, Firmo Antônio"
Tejo,,468,388,,,0.17,39,"Oliveira, Antônio Xavier de<br/> Sá, José Pereira de"
Feliz Americano,,492,446,,,,60,"Henriques, João Militão"
Polifemo,,394,394,,,0.0,54,"Pedrosa, Manoel Carvalho"
Caçador,,609,523,,,0.14,28,"Gonçalves, Joaquim José<br/> Oliveira, Francisco Paulo Neves de"
 ,,595,516,,,0.13,29,
Novo Despique,,450,322,,,0.28,61,"Teixeira, Jacinto Alves"
Patrocínio,,358,310,,,0.13,33,"Pederneira, Manoel Pereira"
 ,,607,500,,,,,
Delfim,Portugal,221,137,,,0.38,83,"Almeida, Francisco Joaquim de"
Triunfo da Inveja,Portugal,131,38,,,0.71,23,"Silva, João Batista da"
S José Diligente Vulcano,Portugal,418,410,,,0.02,30,"Alves, Isidoro"
General D Antônio,Portugal,247,224,,,0.09,,"Coelho, João Antônio"
Bom Caminho,Portugal,484,441,,,0.09,28,"Couto, João Batista do<br/> Pinto, José Bernardo"
Maria,Portugal,146,130,,,,36,"Chaves, Antônio dos Santos"
Maria da Glória,,383,380,,,0.01,,
Lucrécia,,292,279,,,0.04,30,"Noronha, Manoel Joaquim de"
Santana Flor de Cintra,,492,440,,,0.11,55,"Martins, Diogo Cândido"
Zéfiro,,416,407,,,0.02,48,"Monteiro, José Albuquerque Xavier"
Desengano Feliz,Portugal,458,444,,,0.03,32,"Vieira, Francisco Manoel"
Príncipe Regente,,733,689,,,0.06,76,"Pedrosa, Manoel Carvalho"
Trajano,,517,493,,,0.05,54,"Cunha, Eusébio José da"
Bom Jesus Triunfo,,526,461,,,0.12,39,"Silveira, Manoel José da"
Henriqueta,,542,532,,,0.02,47,"Pientenauzer, Firmo Antônio"
Amazona,,465,457,,,0.02,66,"Ferreira, Antônio José<br/> Branco, Antônio Pires"
Mariana,,520,441,,,0.15,61,"Domingues, Jerônimo"
Nove de Janeiro,,594,528,,,0.11,108,"Almeida, Antônio Pedro de"
Leopoldina,,481,280,,,0.42,65,"Menezes, Antônio Joaquim de"
Minerva,,440,395,,,0.1,64,"Braga, João Ribeiro de Castro"
NS da Guia,,338,240,,,0.29,66,"Silva, José Jorge da"
Mercúrio,Portugal,502,490,,,0.02,41,"Ferreira, José Nicolau<br/> Paiva, João Martins de"
S Antônio Destemido,,632,630,,,0.0,40,"Silva, José Leite da"
S Rosa,,331,321,,,0.03,51,"Faria, Manoel de Jesus"
Amália,,692,661,,,0.04,29,"Batalha, Luís Antônio"
Feliz Eugênia,Portugal,632,567,,,0.1,35,"Fogaça, Antônio Gomes"
Santana Flor de Luanda,,519,433,,,0.17,65,"Lontra, Rafael Inácio da Fonseca"
Novo Despique,,440,436,,,0.01,67,"Teixeira, Jacinto Alves"
Luís,,501,455,,,0.09,50,"Campos, Veríssimo de"
D Ana,,337,315,,,0.07,28,"Jordão, Manoel da Mota"
S Joaquim Guerreiro,,179,161,,,,,
Grão Penedo,,523,260,,,0.5,38,"Santos, José Pedro dos"
Mercantil,,625,625,,,0.0,,"Rodrigues, Francisco de Paula"
Trajano,Portugal,508,460,,,,32,"Melo, Francisco José de"
Paquete do Rio,,490,487,,,0.01,37,"Blanchart, Manoel Pereira de Souza"
Bela Americana,Portugal,421,394,,,0.06,50,"Silva, José da<br/> Oliveira, Francisco de Paula Neves de"
Bom Jesus Triunfo,,573,497,,,0.13,37,"Marques, José Gregório Maria"
Polifemo,,390,353,,,,,"Lopes, João Crisóstomo Rodrigues"
Príncipe Real,,559,547,,,0.02,33,"Melo, Bento Joaquim de<br/> Oliveira, Francisco José de"
Imperador do Brasil,Portugal,458,446,,,0.03,42,"Silva, Joaquim Pereira da"
Desengano Feliz,,526,510,,,0.03,29,"Vieira, Francisco Manoel"
D Ana,,335,314,,,0.06,29,"Jordão, Manoel da Mota"
Africano Constitucional,,758,744,,,0.02,50,"Henriques, João Militão"
Príncipe Regente,,735,607,,,0.17,59,"Pereira, Francisco Manoel"
Triunfo do Brasil,,600,590,,,0.02,33,"Carvalho, João Rodrigues"
Urânia,,302,290,,,0.04,36,"Gomes, Manoel de Souza"
Marquês de Pombal,Portugal,454,434,,,0.04,31,"Félix, Inácio José<br/> Melo, Joaquim Gomes de"
NS da Conceição e Sr dos Passos,,450,424,,,0.06,38,"Santos, José Vitorino dos"
Descamisada,,344,300,,,,,"Sandrino, Juan"
Louise,France,183,160,,,,,Precan
Mo Josefa,Spain,183,160,,,,,"Zabala, J B"
Paquete,Portugal,183,160,,,,,"Neves, J M"
Irène,France,331,288,,,,,"Pavillon, P du"
Rose,France,273,250,,,,,"Thomas, M"
Adolphe,France,183,160,,,,,Decaen
Aimable Henriette,France,273,250,,,,,"Gazoux, Charles"
Marie,France,202,176,,,,,"Guyot, H"
Amable Socorro,Spain,167,146,,,,,"Inza, Jozé"
Paquete,Portugal,183,160,,,,,"Neves, J M"
Coureur,France,273,250,,,,,"Verrier, M"
Amable Socorro,Spain,167,146,,,,,"Inzúa, José"
Descamisada,Spain,344,300,,,,,"Sandrino, Juan"
Liberal,Spain,183,160,,,,,"Sanjurgo, Antonio"
Victor,France,273,250,,,,,"Guillon, A P"
Agile,France,273,250,,,,,"Gouyt, Honoré"
Orestes,Spain,273,250,,,,,"Zurbano, D"
Teresa,Spain,273,250,,,,,"Sandrino, J"
Aimable Socorro,Spain,183,160,,,,,"Castello, G<br/> Pulles, A"
Chatica,Spain,183,160,,,,,"Inza, J"
Vengador,Spain,273,250,,,,,"Zorrilla, J"
Indomable,Spain,183,160,,,,,"Sangredas, J"
Española,Spain,183,160,,,,,"Luna, P G de"
Especuladora,Spain,183,160,,,,,"Manzana, S"
Paulita,Spain,183,160,,,,,"Sanjurgo, A"
Felicana,Spain,183,160,,,,,"Anlet, J"
Serafina,Spain,183,160,,,,,"Artoche, José"
Nicanor,Spain,183,160,,,,,"Marques, D<br/> Acne, D"
Tranquillidad,Spain,183,160,,,,,"Mandial, J"
Marie,France,273,250,,,,,"Soret, Pierre"
Bella Dolores,Spain,220,210,,,,,"Guerrero, Antonio"
Tâmega,,613,597,,,0.03,,"Vilasboas, José da Silva"
Zéfiro,Brazil,328,286,,,,28,"Silva, Manoel João Neves da"
Belisário,,336,300,,,,68,"Vitório, Augusto José"
Vencedor,Portugal,265,264,,,0.0,23,"Ferreira, José dos Santos"
Primeira Estrela,Brazil,177,154,,,,29,"Rodrigues, Cosme José"
Zéfiro,,326,299,,,,25,"Silva, João Neri da"
Maria da Glória,Brazil,417,378,,,,28,"Fonseca, João José da"
Vencedor,Brazil,435,394,,,,24,"Ferreira, José dos Santos"
Liberal,,291,281,,,0.03,,"Machado, Manoel de Souza"
S José Diligente Vulcano,,349,297,,,0.15,,"Costa, Silvestre Manoel Pereira da"
Liberal,,135,118,,,,,
Triunfo da Inveja,Portugal,330,302,,,,,"Batista, Manoel João"
Maria,Portugal,243,212,,,,16,"Pusiah, Jerônimo Antônio"
Tejo,Portugal,346,339,,,0.02,46,"Conceição, José Maria da"
Vigilante,,596,474,,,0.2,,"Carvalho, Francisco Cândido da Silva e"
Santana Flor de Luanda,,566,553,,,0.02,35,"Braga, Antônio Manoel de Azevedo"
